2026-04-06T11:54:02.956033Z [info     ] Server started in 6.02s        [browser_opener] api_variant=local_dev langgraph_api_version=0.7.24 message='Server started in 6.02s' thread_name='Thread-3 (_open_browser)'
2026-04-06T11:54:03.027547Z [info     ] 2026-04-06T11:54:03.160022Z [info     ] URL: https://smith.langchain.com/studio/?baseUrl=http://127.0.0.1:2024&organizationId=6d8122ef-6b7d-43ad-aec4-e01af3a90b0a [browser_opener] api_variant=local_dev langgraph_api_version=0.7.24 message='URL: https://smith.langchain.com/studio/?baseUrl=http://127.0.0.1:2024&organizationId=6d8122ef-6b7d-43ad-aec4-e01af3a90b0a' thread_name='Thread-3 (_open_browser)'
2026-04-06T11:54:04.537023Z [info     ] 4 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:54:04.981773Z [info     ] 2 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:54:05.382189Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:54:05.776555Z [info     ] 1 change detected              [watchfiles.main] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:54:06.225075Z [info     ] 7 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:54:06.699861Z [info     ] 3 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:54:07.424506Z [info     ] 14 changes detected            [watchfiles.main] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:54:07.925208Z [info     ] 2 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:54:14.665899Z [info     ] 2 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:54:15.534779Z [info     ] 4 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:54:26.813715Z [info     ] 4 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:54:36.316059Z [info     ] 4 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:54:46.350303Z [info     ] 4 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:54:56.401606Z [info     ] 4 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:55:06.548456Z [info     ] 4 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:55:16.567101Z [info     ] 4 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:55:17.802663Z [info     ] Starting dev persistence flush loop [langgraph_runtime_inmem._persistence] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:55:17.911468Z [info     ] Using langgraph_runtime_inmem  [langgraph_runtime] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:55:18.397085Z [info     ] Using auth of type=noop        [langgraph_api.auth.middleware] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:55:21.334511Z [info     ] Loaded custom app from ./webapp.py:app [langgraph_api.timing.timer] api_variant=local_dev app=./webapp.py:app elapsed_seconds=0.812505699985195 langgraph_api_version=0.7.24 name=load_custom_app thread_name=MainThread
2026-04-06T11:55:21.377250Z [info     ] Starting In-Memory runtime with langgraph-api=0.7.24 and in-memory runtime=0.23.2 [langgraph_runtime_inmem.lifespan] api_variant=local_dev langgraph_api_version=0.7.24 langgraph_runtime_inmem_version=0.23.2 thread_name=asyncio_0 version=0.7.24
2026-04-06T11:55:23.445102Z [info     ] Starting metadata loop         [langgraph_api.metadata] api_variant=local_dev endpoint=https://api.smith.langchain.com/v1/metadata/submit langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:55:23.464277Z [info     ] Getting auth instance: None    [langgraph_api.auth.custom] api_variant=local_dev langgraph_api_version=0.7.24 langgraph_auth=None thread_name=MainThread
2026-04-06T11:55:24.230673Z [info     ] HTTP Request: POST https://api.smith.langchain.com/v1/metadata/submit "HTTP/1.1 204 No Content" [httpx] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:55:24.249605Z [info     ] Successfully submitted metadata to LangSmith instance [langgraph_api.metadata] api_variant=local_dev langgraph_api_version=0.7.24 n_nodes=0 n_runs=0 thread_name=MainThread
2026-04-06T11:55:26.660760Z [info     ] 4 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:55:27.310068Z [warning  ] Import for graph liuliumei_workflow exceeded the expected startup time. Slow initialization (often due to work executed at import time) can delay readiness, reduce scale-out capacity, and may cause deployments to be marked unhealthy.
    To get detailed profiling of slow operations, set FF_PROFILE_IMPORTS=true [langgraph_api.timing.timer] api_variant=local_dev elapsed_seconds=3.8663139000127558 graph_id=liuliumei_workflow langgraph_api_version=0.7.24 module=None name=_graph_from_spec path=./graph.py thread_name=asyncio_0
2026-04-06T11:55:27.338123Z [info     ] Entered lifespan context       [langgraph_api.timing.timer] api_variant=local_dev elapsed_seconds=7.499998901039362e-06 langgraph_api_version=0.7.24 name=user_router.lifespan thread_name=MainThread
2026-04-06T11:55:27.351581Z [info     ] Application started up in 39.844s [langgraph_api.timing.timer] api_variant=local_dev elapsed=39.844000000011874 langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:55:27.669125Z [info     ] Starting 1 background workers  [langgraph_runtime_inmem.queue] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=asyncio_1
2026-04-06T11:55:27.674566Z [info     ] Worker stats                   [langgraph_runtime_inmem.queue] active=0 api_variant=local_dev available=1 langgraph_api_version=0.7.24 max=1 thread_name=asyncio_0
2026-04-06T11:55:27.956188Z [info     ] 11 changes detected            [watchfiles.main] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
2026-04-06T11:55:28.181016Z [info     ] Queue stats                    [langgraph_runtime_inmem.queue] api_variant=local_dev langgraph_api_version=0.7.24 n_pending=0 n_running=0 pending_runs_wait_time_max_secs=None pending_runs_wait_time_med_secs=None pending_unblocked_runs_wait_time_max_secs=None thread_name=asyncio_1
2026-04-06T11:55:28.330745Z [info     ] 4 changes detected             [watchfiles.main] api_variant=local_dev langgraph_api_version=0.7.24 thread_name=MainThread
